source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
Tm4,93,Cluster8,700+ cells,TmY14,93,Cluster7,100-699 cells,17744,Top Input,Excitation,top_input
TmY14,38,Cluster7,100-699 cells,Pm08,38,Cluster7,1-99 cells,7810,Top Output,Inhibition,top_output
T5c,97,Cluster12,700+ cells,Tlp4,97,Cluster11,1-99 cells,10802,Top Input,Excitation,top_input
Tlp4,25,Cluster11,1-99 cells,TmY14,25,Cluster7,100-699 cells,4419,Top Output,Inhibition,top_output
T5c,97,Cluster12,700+ cells,LPi09,97,Cluster11,1-99 cells,24431,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,LPi09,97,Cluster11,1-99 cells,24431,Top Output,Excitation,top_output
T4c,100,Cluster12,700+ cells,Tlp14,100,Cluster11,1-99 cells,14840,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,Tlp14,97,Cluster11,1-99 cells,14148,Top Input,Excitation,top_input
Tlp14,23,Cluster11,1-99 cells,TmY14,23,Cluster7,100-699 cells,7223,Top Output,Inhibition,top_output
T5c,97,Cluster12,700+ cells,Y11,97,Cluster11,1-99 cells,8875,Top Input,Excitation,top_input
T4c,100,Cluster12,700+ cells,Y11,100,Cluster11,1-99 cells,8869,Top Input,Excitation,top_input
Y11,27,Cluster11,1-99 cells,TmY14,27,Cluster7,100-699 cells,8265,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,Y3,100,Cluster7,100-699 cells,21527,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Y3,97,Cluster7,100-699 cells,20677,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,Li10,50,Cluster1,1-99 cells,8941,Top Output,Excitation,top_output
T5c,97,Cluster12,700+ cells,LPi04,97,Cluster11,1-99 cells,5951,Top Input,Excitation,top_input
LPi04,25,Cluster11,1-99 cells,Y11,25,Cluster11,1-99 cells,2550,Top Output,Inhibition,top_output
LPi13,20,Cluster11,1-99 cells,LPi03,20,Cluster11,1-99 cells,246,Top Input,Inhibition,top_input
T4c,100,Cluster12,700+ cells,LPi07,100,Cluster11,1-99 cells,9507,Top Input,Excitation,top_input
LPi07,25,Cluster11,1-99 cells,Y1,25,Cluster11,1-99 cells,3144,Top Output,Inhibition,top_output
Tm2,97,Cluster8,700+ cells,T2,97,Cluster7,700+ cells,27686,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T2,97,Cluster7,700+ cells,27686,Top Output,Excitation,top_output
T2,92,Cluster7,700+ cells,Li15,92,Cluster7,1-99 cells,14144,Top Output,Excitation,top_output
