source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
Tm4,93,Cluster8,700+ cells,TmY14,93,Cluster7,100-699 cells,17744,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,Y3,100,Cluster7,100-699 cells,21527,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Y3,97,Cluster7,100-699 cells,20677,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T2,97,Cluster7,700+ cells,27686,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T2,97,Cluster7,700+ cells,27686,Top Output,Excitation,top_output
L3,94,L3,700+ cells,Tm9,94,Cluster12,700+ cells,15428,Top Input,Excitation,top_input
L2,99,Cluster8,700+ cells,Tm1,99,Cluster8,700+ cells,91229,Top Input,Excitation,top_input
L2,99,Cluster8,700+ cells,Tm1,99,Cluster8,700+ cells,91229,Top Output,Excitation,top_output
Tm1,97,Cluster8,700+ cells,Pm03,97,Cluster7,1-99 cells,78647,Top Output,Excitation,top_output
Tm1,97,Cluster8,700+ cells,Pm03,97,Cluster7,1-99 cells,78647,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,TmY11,97,Cluster1,100-699 cells,19450,Top Input,Inhibition,top_input
Mi9,97,Cluster5,700+ cells,TmY11,97,Cluster1,100-699 cells,19450,Top Output,Inhibition,top_output
L2,99,Cluster8,700+ cells,Tm4,99,Cluster8,700+ cells,44157,Top Input,Excitation,top_input
Tm4,93,Cluster8,700+ cells,TmY5a,93,Cluster7,100-699 cells,22730,Top Output,Excitation,top_output
Tm4,93,Cluster8,700+ cells,TmY5a,93,Cluster7,100-699 cells,22730,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Tm5c,94,Cluster1,100-699 cells,7702,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Tm20,94,Cluster1,700+ cells,15994,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Mi9,94,Cluster5,700+ cells,37152,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Mi9,94,Cluster5,700+ cells,37152,Top Output,Excitation,top_output
Lawf1,35,Cluster13,100-699 cells,L3,35,L3,700+ cells,9104,Top Output,Excitation,top_output
Mi1,100,Cluster9,700+ cells,Pm08,100,Cluster7,1-99 cells,61797,Top Input,Excitation,top_input
Pm08,26,Cluster7,1-99 cells,Tm1,26,Cluster8,700+ cells,26905,Top Output,Inhibition,top_output
Mi9,97,Cluster5,700+ cells,Pm14,97,Cluster1,1-99 cells,4815,Top Input,Inhibition,top_input
L5,98,Cluster9,700+ cells,Mi4,98,Cluster1,700+ cells,28371,Top Input,Excitation,top_input
Mi4,96,Cluster1,700+ cells,Mi9,96,Cluster5,700+ cells,33577,Top Output,Inhibition,top_output
L2,99,Cluster8,700+ cells,Tm2,99,Cluster8,700+ cells,76722,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Pm02,97,Cluster7,1-99 cells,69163,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,Mi10,97,Cluster1,100-699 cells,12397,Top Input,Inhibition,top_input
Tm4,93,Cluster8,700+ cells,Mi14,93,Cluster7,100-699 cells,7274,Top Input,Excitation,top_input
Mi14,33,Cluster7,100-699 cells,Tm1,33,Cluster8,700+ cells,2722,Top Output,Inhibition,top_output
Tm4,93,Cluster8,700+ cells,LC35,93,Boundary,1-99 cells,1005,Top Input,Excitation,top_input
Tm3,100,Cluster9,700+ cells,LC35,100,Boundary,1-99 cells,967,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,Pm05,100,Cluster7,1-99 cells,39349,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,MeMe_e08,100,Boundary,1-99 cells,3668,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Dm4,94,Cluster5,1-99 cells,6024,Top Input,Excitation,top_input
Dm4,24,Cluster5,1-99 cells,Mi4,24,Cluster1,700+ cells,21929,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,Tm27,100,Cluster7,100-699 cells,24145,Top Input,Excitation,top_input
Tm3,100,Cluster9,700+ cells,Li21,100,Cluster7,1-99 cells,12168,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Dm3v,97,Cluster2,100-699 cells,10959,Top Input,Excitation,top_input
